keShi,jianJie,mingCheng 
肛肠科,"
	是指由于各种原因导致肛管变得狭窄，从而引起，大便变细，便时或便后等一系列临床症状的疾病。根据发病的时间，可分为先天性肛管狭窄和后天性肛管狭窄。",肛管狭窄
普外科,"
	感染性心内膜炎的基本病理变化为在心瓣膜表面附着由血小板、纤维蛋白、红细胞、白细胞和感染病原体沉着而组成的赘生物。感染性心内膜炎(infective endocarditis)指因细菌、真菌和其它微生物(如病毒、立克次体、衣原体、螺旋体等)直接感染而产生心瓣膜或心室壁内膜的炎症，有别于由于风湿热、类风湿、系统性红斑性狼疮等所致的非感染性心内膜炎。过去将本病称为细菌性心内膜炎(bacterial endocarditis)，由于不够全面现已不沿用。感染性心内膜炎典型的临床表现，有发热、杂音、贫血、栓塞、皮肤病损、脾肿大和血培养阳性等。",感染性赘生物
感染科,"
	感染性发热，由各种病原体(病毒、细菌、支原体、衣原体、立克次体、螺旋杆菌、真菌、寄生虫等)侵入机体所引起的感染，不论是急性还是慢性、局限性或全身性，均可出现发热。其发病机制是由于病原微生物的代谢产物或其毒素作用于白细胞而产生并释放内源性致热源(endogenous pyrogen)，其分子质量小，可通过血-脑屏障直接作用于体温调节中枢，使体温调定点上移，从而引起发热。",感染性发热
肛肠科,"
	是齿状线以下肛管皮肤层裂伤后形成的小其方向与肛管纵轴平行，长约0.5～1.0cm，呈梭形或椭圆形常引起，愈合困难。而肛管表面裂伤不能视为肛裂因很快自愈，且常无症状。肛裂是一种常见的肛管疾患也是中青年人产生肛管处剧痛的常见原因。肛裂最多见于中年人，但也可发生于老人及小儿一般男性略多于女性，但也有报告女多于男。肛裂常发于肛门后、前正中，以肛门后部居多，两侧的较少。初起仅在肛管皮肤上有一小裂口，有时可裂到皮下组织或直至括约肌浅层，裂口呈线形或棱形，如将肛门张开，裂口的创面即成圆形或椭圆形。",肛裂
肛肠科,"
	是齿状线以下肛管皮肤层裂伤后形成的小，其方向与肛管纵轴平行，长约0.5～1.0cm，呈梭形或椭圆形，常引起，愈合困难。而肛管表面裂伤不能视为肛裂，因很快自愈，且常无症状。肛裂是一种常见的肛管疾患，也是中青年人产生肛管处剧痛的常见原因。肛裂最多见于中年人，但也可发生于老人及小儿，一般男性略多于女性，但也有报告女多于男。肛裂常发于肛门后、前正中，以肛门后部居多，两侧的较少。初起仅在肛管皮肤上有一小裂口，有时可裂到皮下组织或直至括约肌浅层，裂口呈线形或棱形，如将肛门张开，裂口的创面即成圆形或椭圆形。",肛裂溃疡
肛肠科,"
	肛门，是的一种，无症状静止期的，在排便时可见，无疼痛，症状表现为偶有出血，形状不一。只需注意饮食，保持大便通畅，预防并发症出现，不需治疗。另外还有注射疗法，冷冻疗法等。当肛门病变后痔经非手术疗法失败或痔周围支持的结缔组织广泛破坏，，，痔脱出引起症状或嵌顿等，应采取手术治疗。",肛门病变
肛肠科,"
	实际上是。排便时创伤或症引起肛乳头的急性炎症，由于引流不畅及炎症的长期刺激，使肛乳头肥大。",肛管息肉
肛肠科,"
	三联症一般是指肛裂日久所导致的肛乳头瘤或、哨兵、陈旧性肛裂或者是其导致的皮下瘘管三者，此三者在肛裂中，应属Ⅲ期肛裂范畴。因此，肛裂三联症是Ⅲ期肛裂大便秘结，排便过于用力，使肛门皮肤破裂，反复而发病。多由血热肠燥，大结，排便过于用力，使肛门皮肤破裂，反复而发病。《医宗金鉴外科心法要诀》中说：""肛门围绕，折纹破裂，便结者，火燥也。""扼要阐述了因热结肠燥，或因阴虚津亏而致大便秘结，排便用力，使肛门皮肤裂伤，随后又继发感染，逐渐形成慢性、梭形溃疡，但也有因肛管狭窄、肛门、疮损伤等感染而发病。",肛裂三联征
肛肠科,"
	属于先天性肛门直的临床表现。其狭窄的部位多见于肛管或肛门口，范围短，呈环形，又称肛门膜状狭窄。可以生于肛门、直肠的各个区段，大体可分为肛门狭窄、肛管狭窄、肛管直肠交界处狭窄、直肠狭窄、肛管直肠狭窄等。除肛门狭窄多见外，其他各型都极为罕见。有排便不畅史结合局部检查即可确诊。",肛门或肛管窄小
肛肠科,"
	说明有双侧锥体束或马尾神经损害，传入神经为阴部神经，中枢在骶髓4～5的后角细胞柱及同节段的前角细胞性，传出神经为阴部神经。肛门外括约肌接受双侧会阴神经支配，当一侧锥体束损害或周围神经损害时，肛门反射仍存在，当两侧锥体束损害时或马尾神经损害时，肛门反射消失。",肛门反射减弱或消失
皮肤科,"
	老年或称是指每天至少2次或2次以上不随意控制的排便和排气。它是各种原因引起的具有多种病理生理基础的一种临床症状老年人的发生率约为1%老年住院病人较多见一般女性多于男性。大便失禁常见于老年人轻度的大便失禁常不被患者和医生所重视确切的发病率报告不多。体检可见。",肛门会阴区潮湿不洁
肛肠科,"
	类型众多，直肠盲端和瘘管的位置各异。其发病率在新生儿中为1∶1500～5000，占消化道畸形的首位。男性多于女性，高位畸形在男性约占50%，女性占20%。各种瘘管的发生率在女性为90%，男性为70%。合并其它先天性畸形的发生率约有30～50%，且常为多发性畸形。有家族史者少见，仅1%。有遗传性，但遗传方式尚无定论。",肛门畸形
肛肠科,"
	肛门常有短时间阵发性，或疼痛持续数小时，是的临床症状常见的表现。肛窦炎又称肛隐窝炎，常是肛管直肠部位感染性疾病的发源病灶，因症状不重，易被忽视。肛窦因窦底在下，开口朝上，呈袋状，引流差，容易贮藏粪便引发感染和损伤，肛窦的边缘又有游离的半月形的肛瓣，也容易受到干粪块的擦伤或被排便时撕裂。",肛门短时间阵发性钝痛
中医综合,"
	是指呼吸比正常人短促，躁而带粗，气若有所窒，则语言不接续和呼吸勉强。
	呼吸短促，多有呼吸系统或心血管系统疾病。",气短
呼吸内科,"
	咽部可造成上气道吸气时陷闭。",气道陷闭
普外科,"
	腹部空腔脏器因炎症或外伤等因素导致破裂穿孔后，立位状态下，气体积聚于隔肌下方，叩诊肝浊音界缩小或消失，X线可见紧贴膈下新月形游离气体影征象。由于内脏空腔脏器的破裂，比如结肠破裂、胃穿孔等原因所致，多发生于上腹或两侧腹的创伤，绝大多数为开放伤，闭合伤极小。比如外伤，也可以引起腹部空腔脏器的损伤，引起腹部气体的积聚，X线可见紧贴膈下新月形游离气体影征象。",气腹征
心胸外科,"
	呼气末期于气管处可听到异物冲击气管壁和声门下区的拍击声，是气管异物的症状之一，异物刚吸入，以为主。以后，活动性异物随气流移动，可引起阵发性及。",气管处可听到异物冲击的拍击声
心胸外科,"
	，纵隔位于两侧肺之间，以胸骨和胸椎为其前后界。内有许多重要器官，有大血管、气管、主支气管、心包、食管、胸腺及大量脂肪、神经和淋巴管等组织，因先天发育 过程异常或后天性囊肿或肿瘤形成，就成为纵隔肿瘤.纵隔内肿瘤种类繁多，有原发的、有转移的，原发肿瘤中以良性多见，但也有相当一部分为恶性。为标明病变在纵隔所在部位，可将纵隔划分为若干部分，以胸骨与第4胸椎下缘水平分为上、下两部，将含有很多重要器官的纵隔间隙称为“内脏器官纵隔”(中纵隔)，右气管、心包前的间隙为前纵隔；在气管、心包后方(包括食管和脊柱旁纵隔)称为后纵隔。据国内统计资料显示，纵隔肿瘤发病率以神经源性肿瘤占第一位，其次为畸胎类、胸腺肿瘤和甲状原肿瘤，各种囊性肿瘤最少。",气管间隙形成肿块
心胸外科,"
	纵隔患者CT片可显示肿瘤占满整个胸腔，纵隔向健侧移位，，受压或变窄。神经源性肿瘤是成人和儿童最常见的，肿瘤分为良性肿瘤如、黑色素沉着施万瘤、及，其中恶性肿瘤有恶性施万细胞瘤和神经源性。来自于神经鞘的施万细胞，生长缓慢。",气管和纵隔移位
普外科,"
	中度吸入性损伤指气管隆突以上，包括咽喉和气管的损伤。中度吸入性损伤指气管隆突以上，包括咽喉和气管的损伤。临床表现为刺激性咳嗽、声音嘶哑、呼吸困难、痰中可衾碳粒及脱落之气管粘膜，喉头水肿导致气道梗阻，出现吸气性喘鸣。肺部听诊呼吸音减弱或粗糙，偶可闻及哮鸣音及干罗音。患者常并发气管炎和吸入性肺炎。",气管隆突以上的损伤
心胸外科,"
	让病人头居中位、用右手中指沿胸骨切迹向后触摸气管，食指与无名指分别在左、右两侧胸锁关节处，看中指是否与其它两指等距离，或将中指触摸气管，观察中指与两侧胸乳突肌所构成间隙的大小，以判断气管是否移位。对诊断胸部疾病有重要意义。当有病理原因使其产生增加和(或)吸收减少时，就会出现胸腔积液。胸腔积液分为漏出液和渗出液两类。",气管移位
传染科,"
	中度指气管隆突以上，包括咽喉和气管的损伤。",中度吸入性损伤
心胸外科,"
	是的临床诊断症状。结核性胸膜炎是结核菌由近胸膜的原发病灶直接侵入胸膜，或经淋巴管血行播散至胸膜而引起的渗出性炎症。我国大多数由人型结核菌所引起。结核杆菌的抵抗力较强，除有耐酸、耐碱、耐酒精的特性外，对于冷、热、干燥、光线以及化学物质等都有较强的耐受力。",气管纵隔和心脏向健侧移位
外科,"
	气管、支气管是人体的呼吸通道。由于形状像树，所以又称支气管树。是由于支气管的挤压。用磁共振显像能显示肿块旁的气管、支气管树及支及移位。",气管受压
肿瘤外科,"
	患者均有不同程度的和，甚至发生。
	呼吸道内异物所致者常表现为突发性呼吸困难﹐呼吸道外因素所致者多表现为慢性呼吸困难。呼吸道以环状软骨下缘为界分为上﹑下呼吸道两个部分。上呼吸道由鼻﹑鼻窦﹑咽喉构成。急性呼吸道阻塞的治疗原则﹐除镇静﹑给氧外应作病因治疗及对症治疗。",气管阻塞
普外科,"
	为机械性时所特有的腹部听诊音，其音调高亢且连续出现，如闻气泡自水中穿行，故名。是由于肠梗阻时，肠腔扩大，积气增多，其肠壁被胀大变薄，且极度，与亢进的音共鸣而形成的。",气过水声
呼吸内科,"
	肺泡与血流经肺泡-毛细血管膜(下简称肺泡膜)进行气体交换的过程是一个物理性弥散过程。单位时间内气体的弥散量取决于肺泡膜两侧的气体分压差、肺泡的面积与厚度和气体的弥散常数。弥散常数又与气体的分子量和溶解度相关。此外，气体总弥散量还决定于血液与肺泡接触的时间。
	弥散(diffusion)是指肺泡与毛细血管中的氧和二氧化碳，通过肺泡-毛细血管膜进行气体交换的过程。弥散功能是以肺泡毛细血管膜两侧气体分压差为0.1333kPa(1mmHg)时；每分钟可能通过的气量为指标，以弥散量(diffusion capacity)表示，二氧化碳的弥散能力很强，比氧大21倍，临床上不存在二氧化碳弥散障碍，故弥散障碍主要是指氧气。测定方法是以一氧化碳作为测定气体。优点是：(1)除大量吸烟者外，一般人进入毛细血管混合静脉血的CO几乎为零，不需计算。(2)CO与血红蛋白亲和力为氧的210倍，吸入少量CO通 过毛细血管膜到血浆后，迅速进入红细胞与血红蛋白结合，血浆中CO分压等于零，可以不计。　　
	DLco正常值：206.2ml/kPa/m 　　
	肺氧弥散量(Dlo2)=1.23×DLco。　　
	弥散量的大小，取决于膜两侧气体分压差、弥散面积、距离、时间、气体分子量及其在弥散介质中的溶解度。肺气肿及其他肺组织病变，弥漫性等疾病时可引起弥散功能降低。临床上当肺部病变产生弥散功能障碍时，常同时有明显的通气/血流比例失调，其后果均导致缺氧。",气体弥散障碍
中医综合,"
	又称“气上撞心”。自觉有股气流从少腹上冲脘腹、胸咽部的表现。",气上沖心
中医综合,"
	气机，即指气的运动。气的运动形式虽然复杂多样，但《内经》将其概括为升、降、出、入四种基本形式，并将气的升降出入视作人体生命活动的本源和象征。气的升降出入一旦停止，也就意味着生命活动的终止。多由、邪气留滞，或脏腑经络等功能障碍所致。常见的气机失调状态，大体上可分为气滞、气逆、气陷、气闭、气脱五种。
	 ",气机失调
其他综合,"
	，上气不接下气，多由缺氧、情绪等引起。",气急
中医综合,"
	就是气不通的意思，气的概念按中医辨证来说还可以分好多种。气机不畅，郁而化热成毒。""气为血帅""，气机郁滞还可导致阻络。最后形成热毒与瘀血互结。由于胃、肝、脾、肺气机不畅，功能失调而出现的湿浊，，，饮食，瘀血阻滞等。
	机不畅的常见病证有：脾胃气滞、气逆证，症见脘腹胀闷疼痛、嗳气吞酸、不思饮食、恶心呕吐、大便秘结、或泻痢不爽、泻后坠胀等;肝郁气滞证，症见情绪不舒、抑郁不乐、胁肋苦满胀痛、乳房胀痛、疝气疼痛、月经失调、痛经、经闭等；肺失宣降或胸阳闭阻证，症见胸闷不畅、咳嗽气喘、胸痹心痛等。",气机不畅
呼吸内科,"
	弥散功能是换气功能中的一项测定指标。用于评价肺泡毛细血管膜进行气体交换的效率。
	肺泡与血流经肺泡-毛细血管膜(下简称肺泡膜)进行气体交换的过程是一个物理性弥散过程。
	单位时间内气体的弥散量取决于肺泡膜两侧的气体分压差、肺泡的面积与厚度和气体的弥散常数。弥散常数又与气体的分子量和溶解度相关。此外，气体总弥散量还决定于血液与肺泡接触的时间。弥散量的大小，取决于膜两侧气体分压差、弥散面积、距离、时间、气体分子量及其在弥散介质中的溶解度。
	肺气肿及其他肺组织病变，弥漫性肺间质纤维化等疾病时可引起弥散功能降低。临床上当肺部病变产生弥散功能障碍时，常同时有明显的通气/血流比例失调，其后果均导致缺氧。
	通过肺活量的临床检查，可以作出诊断。 　　
	男性为(28.84±4.84)ml/(mmHg/min)，女性为(22.13±3.09)ml/(mmHg/min)。低于这个值就出现气体弥散功能下降。",气体弥散功能下降
呼吸内科,"
	人呼出的气息无特殊气味。异常的气息往往来自食物、吸烟者、饮酒都等，如果呼出恶臭气息或有某种特殊气息，在临床见于口腔、呼吸道、消化道及一些内脏疾病时，具有重要意义。气息异常的另一种，是呼吸的频率和节律异常。",气息异常
心胸外科,"
	气胸是指无外伤或人为因素情况下，脏层胸膜破裂，气体进入胸膜腔导致胸腔积气而引起的病理生理状况。肺无明显病变由胸膜下气肿泡破裂形成者称特发性气胸;继发于慢阻肺肺结核等胸膜及肺疾病者称继发性气胸。按病理生理变化又分为闭合性(单纯性) 、开放性(交通性)和张力性(高压性)三类。此时胸腔内压力升高，甚至由负压变成正压，使肺脏压缩，静脉回心血流受阴，产生不同程度的肺、。近年来，国内外学者对其病因，发病机理及诊治方法进行了深入研究，并取得了一定进展。",气胸
中医综合,"
	气虚证是人体之气不足导致气的基本功能减退的虚弱证候。这里的“气”，指的是全身之气，也涵盖脏腑、组织之气。神疲乏力，气短息弱，声低懒言，或面白少华，头晕，自汗，易感冒，活动后诸症加重，舌淡嫩，脉虚弱。各脏腑组织气虚证还有各自的特定表现。气虚证是指气的升降出入运动失常所引起的病证。此中又有“气滞证”、“气逆证”、“气陷证”、“气闭证”、“气脱证”的不同类型。
	 ",气血虚弱
中医综合,"
	是指血液循行体内，营养周身。如有亏乏、凝滞、妄行均为病症。一般多先由气的运行不畅，然后引起血液的运行瘀滞，是先有气滞，由气滞而导致血瘀，也可由离经之血等瘀血阻滞，影响气的运行，这就先有瘀血，由瘀血导致 气滞，也可因闪挫等损伤而气滞与血瘀同时形成。心脏肝脏的功能不好，运化代谢异常有关，辨别一下是器质性的病症，还是非器质性病变，应该注意多活血通脉。",气血凝滞
中医综合,"
	，容易郁闷的，的人。气郁体质者性格多内向，缺乏与外界的沟通，情志不达时精神便处于抑郁状态。
	体质特点：形体消瘦或偏胖，面色苍暗或萎黄;平素性情急躁易怒，易于激动，或忧郁寡欢，胸闷不舒;舌淡红，苔白，脉弦;一旦生病则胸肋胀痛或窜痛;有时乳房及小腹胀痛，月经不调，痛经;咽中梗阻，如有异物;或颈项瘿瘤;胃脘胀痛，泛吐酸水，呃逆哎气;腹痛肠鸣，大便泄利不爽;体内之气逆行，头痛眩晕。
	 ",气郁体质
耳鼻喉科,"
	的情况包括耳咽管暂时阻塞，和因为气压突然变化所产生的耳膜。这种疾病通常发生在乘飞机旅行的途中。
	鼓室内负压可引起粘膜下组织的血管扩张而致血清漏出，甚至出血，形成中耳积液或积血，鼓膜本身随着中耳负压的加重，可出现内陷、充血、粘膜层与纤维层剥离，甚至穿孔。因此，表现突感耳闷、耳鸣、头痛、头晕等症状。轻者仅感耳闷，数小时后即愈。重者可耳痛、耳鸣及吸力减退明显，日后亦可恢复。如因鼓室积液、积血不易吸收，可持续数日不愈，个别严重者全鼓膜皆可充血，偶可见鼓膜穿孔。反复多次损伤后，鼓膜常内陷，混浊增厚，活动度差，呈传音性聋。",气压伤
中医综合,"
	祖国医学认为，虚弱体质分为几种类型，就是其中的一种，它主要是指人体的生理功能处于不良状态，体力和精力都明显感到缺乏，稍微的活动一下或工作、运动就有及不适的感觉。现代医学将这种情况归于亚健康的范畴内。这些人的身体的免疫能力和抵抗疾病的能力明显低于身体健康的人。气虚体质人形体一般为肌肉松软，不健壮。平日里的常见表现有气短懒言，语音低怯，肢体容易疲倦，头晕，健忘，易汗出，目光少神，唇色少华，毛发不泽，大便或正常，或便秘但不结硬，或便后有不尽感。气虚质的人比较内向，胆小，情绪不稳定，平时容易患上感冒、或者生病了不容易痊愈，或容易出现内脏下垂的症状，例如胃下垂、子宫脱垂、直肠脱垂等等。这类人对外界适应能力较差，在寒冷、大风以及炎热天气环境下更容易患病。",气虚体质
中医综合,"
	是气血失调的主要临床症状之一，气血失调，是指气或血的亏损和各自的生理功能异常，以及气血之间互根互用的关系失调等病理变化。气血是中医指人体内气和血的统称。中医学认为气与血各有其不同作用而又相互依存﹐以营养脏器组织﹐维持生命活动。气血是人体脏腑、经络等一切组织器官进行生理活动的物质基础，而气血的生成与运行又有依赖于脏腑生理机能的正常。",气血失和
中医综合,"
	，是指气滞和血瘀同时存在的病理状态。
	气滞血瘀证，是气机郁滞而致血行瘀阻所出现的征候，多由情志不舒，或外邪侵袭引起肝气久郁不解所致。　　
	主要临床表现：胸胁胀问，走窜疼痛，急躁易怒，胁下痞块，刺痛拒按，妇女可见月经闭止，或痛经，经色紫暗有块，舌质紫暗或见瘀斑，脉涩。　　
	气滞血瘀证，是气机郁滞而致血行瘀阻所出现的征候，多由情志不舒，或外邪侵袭引起肝气久郁不解所致。　",气滞血瘀
眼科,"
	先天性或，由于出生时黄斑出血，导致锥细胞排列不规则，在婴儿出生后双眼形成以前发生，因而预后不好。有些虽然视网膜及中枢神经系统不能查出明显的病变，目前仍认为属器质性病变，因现有检查方法不能发现，此型为恒定性弱视，治疗无效。对于婴幼儿和不能配合检查视力的幼儿，可作遮盖试验大致了解双眼视力情况：有意遮盖一眼，让孩子单眼视物，若很安静而遮盖另眼却哭闹不安或撕抓遮盖物，那就提示未遮盖眼视力很差，尽早到医院检查。　　",器质性弱视
神经内科,"
	这是发生于严重的急性脑损伤后，如感染、中毒、外伤、缺氧或发作的一种状态，患者表现运动不能，但可有被动进食或排便等动作。轻者可望恢复，重者可后遗。",器质性木僵
神经内科,"
	是指神经受到外来因素或病理改变导致的神经组织发生变异失去功能的病理改变。",器质性神经损害
男科,"
	器质性是因疾病引起的早泄显现，壮阳药的危害巨大，根据医师的说法，一般不建议非用壮阳药，因为壮阳药主要是针对，不是早泄，而且通过血液起作用会产生很多相关的周边副作用。",器质性早泄
神经内科,"
	器质性—organic mental disorder ，基于可证实的大脑疾病、脑损伤或其他损害为病因而归于一组的精神障碍。其精神紊乱可以是原发性的，如直接而且选择性地影响大脑的疾病、损伤和损害；也可以是继发性的，如某些全身性疾病和障碍，脑只是多个受损害的器官或系统之一。症状性精神障碍一词指的是后一亚组。见：器质性精神综合征。",器质性精神障碍
普外科,"
	可发生迁徙性浅静脉，常累及大隐静脉或小隐静脉或其属支，多发生于的基础上。主要特征是血栓形成部位疼痛，外表可见浅静脉有一发红、的索状物，有触痛，周围红肿。其栓子不易脱落，一般不会引起肺动脉栓塞。另外，迁徙性浅往往是癌症的一个提示性症状。",迁徙性浅静脉血栓形成
普外科,"
	是常见的临床症状。憩室是胃肠道(消化道)任何一部分向外的囊状突起。憩室最常发生的部位是大肠。数个憩室同时存在，称为憩室病。
	憩室病是胃肠道(消化道)任何一部分向外的囊状突起。憩室最常发生的部位是大肠。数个憩室同时存在，称为憩室病，这是常在中年后发生的一种病理状态。如果憩室发生炎症，称为憩室炎。憩室病是数个憩室同时存在，通常发生在大肠。
	憩室的开口可以出血，有时可以大出血，血液进入肠腔，再经肛门排出。当粪便嵌顿在憩室并损伤血管(通常是憩室旁的血管)即可引起这种出血。升结肠比降结肠的憩室出血更常见。结肠镜检查能确定出血的原因。憩室病大多发生在出血。
	病情可分两个阶段：
	1)憩室形成阶段：结肠壁出现隆起，形成异常囊袋，称为憩室。
	2)憩室炎阶段：机体代谢产物、细菌滞留在憩室中，引起炎症，甚至导致穿孔。大多数患者的病情只会停留在第一阶段。",憩室出血
骨外科,"
	髂骨角的倾斜度增加，骨盆向前下倾斜，附着于髂骨上的韧带对髂骨的牵拉影响了髂骨的血运，使局部血供减少而引起骨质出现致密性改变。(osteitis condensans ilii)是髂骨与骶骨之间耳状关节部分的骨质密度增高。可为单侧或双侧。症状可于半年至数年后自行消失或缓解，此时髂骨的致密性改变也随之消失。",髂骨角增大
骨外科,"
	髂窝是指髂窝部化脓性感染所致脓肿。常伴有，呕吐，，全身，局部，髂窝疼痛症状。",髂窝部疼痛
普外科,"
	脓肿是急性感染过程中，组织、器官或体腔内，因病变、液化而出现的局限性脓液，四周有一完整的脓壁。常见的致病菌为金黄色葡萄球菌。脓肿可原发于急性化脓性感染，或由远处原发感染源的致病菌经血流、淋巴管转移而来。急性，可并发、及其他迁移脓肿，表现为，、、等。",迁移性脓肿
神经内科,"
	某些内脏器官病变时，在体表一定区域产生感觉过敏或疼痛感觉的现象，称为牵涉痛。是由原病灶部位的疼痛扩散而来，属“”。引起牵涉痛的结构基础可能是：
	(1)病变脏器的初级感觉纤维进入脊髓后一方面终止于特有的二级神经元，另一方面以侧支终于有关躯体结构感觉传导的神经元。
	(2)病变脏器与相应躯体结构的初级感觉纤维终于同一个二级神经元。
	(3)初级感觉神经元周围突有不同侧坛分布于内脏及相应躯体结构。原病灶部位包括血管扩张，血管被牵引、压迫或伸展移位，脑膜受刺激，神经刺激，头颈部肌肉痉挛性收缩，头部附近器官的放射性牵引等。",牵涉性头痛
中医理疗科,"
	起坐后突发剧烈，常伴、呕吐、系因此时颅内压进一步下降，颅内疼痛敏感组织失去了脑脊液的托持而受到牵拉所致，故属于。",牵引性头痛
神经内科,"
	见于某些锥体外系病变中的特殊张力变化，其肌张力增高有选择性，上肢以内收肌、屈肌与旋前肌为主，下肢以伸肌肌张力增高占优势。被动运动患者肢体时所遇到的阻力一般比痉挛性者小，但和肌肉当时的长度即收缩形态并无关系，在伸肌和屈肌间也没有区别。无论动作的速度、幅度、方向如何，都遇到同等的阻力。这种肌张力增高称为。",铅管样强直
普外科,"
	肱动脉下段损伤临床上最为多见，好发于儿童，尤以肱骨髁上时多见，主要引起，称之为Volkmann缺血挛缩。",前臂及手部肌群的缺血性挛缩
中医理疗科,"
	是前骨间的常见临床表现。(anterior interosseous entrapment nerve syndrome)是由Kiloh和Nevin于1952年报道的。随后，有关病例不断见诸报道。其发病在前臂远端神经性病变中约占1%。前骨间神经卡压征为纯运动神经性麻痹，表现为拇长屈肌、食指和中指的指深屈肌以及旋前方肌的肌力减弱。此外，前骨间神经有一终末感觉支支配腕部的部分感觉。因此，前臂和腕部的疼痛是本病的常见临床表现。　",前臂和腕部的疼痛
骨外科,"
	是肱骨髁上诊断的临床表现。系指肱骨远端内外髁上方的骨折。以肘部疼痛，肿胀明显甚至有张力水泡，肘部畸形，活动障碍为主要表现。其中伸直型占90%左右。以小儿最多见，多发年龄为5～12岁。当肱骨髁上骨折处理不当时容易引起Volkmann缺血性肌挛缩或肘内翻畸形。虽然各种治疗方法都有改进或提高，使危害严重的Volkmann缺血性肌挛缩已明显减少，但仍不断发生肘内翻畸形，发生率仍然较高，治疗时必须加以注意。",前臂短缩
普外科,"
	神经根型重者为阵发性，沿神经根分布向前臂外侧和手指样疼痛。",前臂外侧和手指触电样疼痛
其他综合,"
	某些内脏器官病变时，在体表一定区域产生感觉过敏或疼痛感觉的现象，称为牵涉痛。例如阑尾炎的早期，疼痛常发生在上腹部或脐周围，心肌缺血或梗塞，常感到心前区、左肩、左臂尺侧或左颈部体表发生疼痛，胆囊疾患时，常在右肩体表发生疼痛等。是疼痛的一种类型，表现为病人感到身体体表某处有明显痛感，而该处并无实际损伤。这是由于有病变的内脏的神经纤维与体表某处的神经纤维会合于同一脊髓段，来自内脏的传入神经纤维除经脊髓上达大脑皮质，反应内脏疼痛外，还会影响同一脊髓段的体表神经纤维，传导和扩散到相应的体表部位，而引起疼痛。",牵涉痛
妇科,"
	诊断：、活动障碍，X线片可明确骨折类型及移位情况。照片应包括肘、腕关节，以了解有无旋转移位及上、下尺桡。本病患者主要表现为局部肿胀、畸形及压痛，可有骨擦音及异常活动，前臂活动受限。儿童常为青枝骨折，有成角畸形，而无骨端移位。有时合并正中神经或尺神经、桡神经损伤，要注意检查。　　",前臂外伤后疼痛
眼科,"
	也叫，即称。",白晕
血液科,"
	细胞广泛而无控制地异常增生，除累及造血系统外，还可向全身各组织器官浸润。急慢性白血病一个重要的病理改变是白血病细胞向体内重要器官，如肝、心、脑、肾、脾等游走浸润，从而引起器官不可逆损害。总的治疗原则是消灭白血病细胞群体和控制白血病细胞的大量增生，解除因白血病细胞浸润而引起的各种临床表现。",白血病细胞浸润
消化内科,"
	（Tarry stool）：上消化道或小并在肠内停留时间较长，则因红细胞破坏后，血红蛋白在肠道内与硫化物结合形成硫化亚铁，使得粪便呈黑色，更由于附有黏液而发亮，类似柏油，故称柏油便。柏油样便又称为黑便。当患有消化性溃疡、出血性胃炎、糜烂性胃炎、食管癌、胃癌、肝硬化等消化道疾病或再生障碍性贫血、白血病、血友病等血液病时，就会出现上消化道出血而使大便发黑而成柏油样。",柏油便
心内科,"
	患性心力衰竭的新生儿在婴幼儿期常表现为、淡漠、、拒奶或呕吐等。(congestive heart faiture)是由于心功能减损，虽然发挥代偿能力后，心输出量仍不能满足静息或活动情况下全身组织代谢需要，因而体内有关部位发生血液瘀积，产生一系列的临床症状和体征，是常见的临床综合症。按充血性心力衰竭发病的急缓，可以分为急性充血性心力衰竭和慢性充血性心力衰竭;根据左右心室发病的先后，可分为左心室衰竭和右心室衰竭;按心力衰竭时血液动力学的改变，可分为低心排量和高心排量心力衰竭。后者如严重或动静脉瘘等，即使心脏功能无明显降低，心输出量正常或相应增加，敢不能满足需要，而出现心力衰竭。临床以慢性低心排量充血性心力衰竭较常见。",百特异症状
妇科,"
	，常表现为阴道炎。念珠菌阴道炎是一种常见的阴道炎，习称霉菌阴道炎，发病率仅次于滴虫阴道炎。由念珠菌中的白色念珠菌感染所致。此菌呈卵园形，有芽生孢子及细胞发芽伸长而形成的假菌丝，假菌丝与孢子相连成链状或分枝状。念珠菌对热的抵抗力不强，加热至60°C1小时即可死亡;但对干燥、日光、紫外线及化学制济等抵抗力较强。",白色念珠菌感染
传染科,"
	（septicemia），是指细菌进入血液循环，并在其中生长繁殖、产生毒素而引起的全身性严重感染。临床表现为发热、严重状、皮疹瘀点、和白细胞数增高等。分革兰阳性球菌败血症、革兰阴性杆菌败血症和脓毒败血症。以抗生素治疗为主，辅以其他治疗方法。预防措施为避免皮肤粘膜受损，防止。",败血症
皮肤科,"
	是指和丘疹同时存在。此外，还有性、系暗红色丘疹、突出皮肤、有较硬的结节、指压疼痛。皮疹的一种类型。在丘疹周围伴有的底盘。见于、、药物疹等。",斑丘疹
感染科,"
	的征象是细菌侵入血液并迅速生长繁殖，引起全身性感染症状。发病特点是开始剧烈，以后持续40-41℃的，伴有出汗、、、呕吐、和皮下出血点等，严重时而。抽取血液作细菌培养，可找到大量细菌。常见有金黄色葡萄球菌、溶血性链球菌、链球菌、大肠杆菌、双球菌、绿脓杆菌、变形杆菌、沙门菌属、克雷白菌属等。",败血症的征象
